time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-05 00:00:00+00:00,13,7,0,0
2026-04-06 00:00:00+00:00,11,6,0,0
2026-04-07 00:00:00+00:00,11,6,1,1
2026-04-08 00:00:00+00:00,9,5,0,0
2026-04-09 00:00:00+00:00,12,6,0,0
2026-04-10 00:00:00+00:00,28,7,2,2
2026-04-11 00:00:00+00:00,9,4,0,0
2026-04-12 00:00:00+00:00,27,9,0,0
2026-04-13 00:00:00+00:00,36,12,1,1
2026-04-14 00:00:00+00:00,19,6,0,0
2026-04-15 00:00:00+00:00,31,9,0,0
2026-04-16 00:00:00+00:00,12,6,0,0
2026-04-17 00:00:00+00:00,15,5,1,1
2026-04-18 00:00:00+00:00,5,4,0,0
