time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-08 00:00:00+00:00,22,9,1,1
2026-06-09 00:00:00+00:00,13,8,1,1
2026-06-10 00:00:00+00:00,24,11,0,0
2026-06-11 00:00:00+00:00,27,12,0,0
2026-06-12 00:00:00+00:00,30,13,3,1
2026-06-13 00:00:00+00:00,19,7,1,1
2026-06-14 00:00:00+00:00,22,6,0,0
2026-06-15 00:00:00+00:00,32,12,0,0
2026-06-16 00:00:00+00:00,22,9,0,0
2026-06-17 00:00:00+00:00,7,2,0,0
2026-06-18 00:00:00+00:00,14,4,0,0
2026-06-19 00:00:00+00:00,47,10,1,1
2026-06-20 00:00:00+00:00,39,10,0,0
2026-06-21 00:00:00+00:00,31,7,0,0
