time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-13 00:00:00+00:00,36,12,1,1
2026-04-14 00:00:00+00:00,19,6,0,0
2026-04-15 00:00:00+00:00,31,9,0,0
2026-04-16 00:00:00+00:00,12,6,0,0
2026-04-17 00:00:00+00:00,15,5,1,1
2026-04-18 00:00:00+00:00,5,4,0,0
2026-04-19 00:00:00+00:00,20,10,0,0
2026-04-20 00:00:00+00:00,55,23,0,0
2026-04-21 00:00:00+00:00,71,27,0,0
2026-04-22 00:00:00+00:00,95,38,8,4
2026-04-23 00:00:00+00:00,91,26,8,6
2026-04-24 00:00:00+00:00,88,36,4,1
2026-04-25 00:00:00+00:00,64,28,0,0
2026-04-26 00:00:00+00:00,11,6,0,0
